Github repo name,Number of stars,Programming language
school-of-sre,1900,HTML
en.javascript.info,12400,HTML
ionic-framework,42500,TypeScript
rapidjson,10200,C++
lens,10000,TypeScript
Alamofire,34900,Swift
javascript-algorithms,88100,JavaScript
crowdsec,2300,Go
ms-teams-rce,894,Built by
Depix,8400,Python
thanos,7000,Go
Profiles,1200,Built by
CrewLink,1100,TypeScript
sail,236,Shell
sonic-pi,6700,Ruby
architect-awesome,50100,Built by
fastlane,30600,Ruby
tensorflow,151000,C++
Catch2,12500,C++
json,21900,C++
go-git,1700,Go
nomad,7500,Go
mml-book.github.io,7900,Jupyter Notebook
ATC_MiThermometer,606,C
prometheus-operator,5100,Go